user_id,text_id,text,timestamp,collection_phase,is_words,valence,arousal
3,251,I ' ve been feeling just fine . Nice and relaxed .. Im on my days off from work spending time with my daughters at home . I ' m not sure what else to say . I ' m in a good mood .....................................................,2021-06-08 12:26:16,1,False,1.0,1.0
3,252,I ' ve been feeling pretty good . This is my last day off before I return to work so I am going to try and clean the house some and maybe tackle some laundry . I think im getting a cold but im in pretty high spirits .,2021-06-09 13:41:40,1,False,0.0,1.0
3,253,Still feeling sick today and sneezing alot with a runny nose but otherwise I ' m feeling pretty good . I have work in a couple hours at the restaurant and it ' s Friday night so I ' m sure I ' ll be busy making a ton of drinks .,2021-06-11 15:13:48,1,False,1.0,1.0
3,254,I ' m still feeling kinda sickly but I powered through at work last night . It ' s was so crazy busy that I could barely keep up . I love when that happens haha . I ended out the night very sore but over 300 dollars richer so I can ' t complain,2021-06-12 12:20:03,1,False,1.0,1.0
3,255,I ' m feeling so much better today ! Seems like this cold is almost gone thank god . Last night was busy at the bar and I did pretty decent . I ' m pretty exhausted today but it ' s my last day to work and then I ' m off for three days,2021-06-13 14:54:41,1,False,2.0,1.0
10,407,"Tired , Exhausted , Calm , Content , Happy",2021-06-09 12:11:03,1,True,-1.0,0.0
10,408,"Content , Calm , Sleepy , Lazy , Relaxed",2021-06-10 17:08:20,1,True,2.0,0.0
10,409,"Content , Calm , Relaxed , Happy",2021-06-11 12:03:33,1,True,2.0,0.0
10,410,"Calm , Content , Happy , Relaxed",2021-06-11 17:18:21,1,True,2.0,1.0
17,972,"I feel pretty good , a little tired . I didn’t get home until midnight and right back at it this morning .   Ready to get my shift over for the day . I have two shifts left and I have the next two days off . I’m anxious , but ready .",2021-06-12 12:19:10,1,False,1.0,2.0
17,973,"I hate my job . I hate people at times . I just wanna go home . I don’t understand hope they Think we can manage without a break , all day long . Especially me being 46   years old   I just need a new job . A new profession . I can’t do this right now .",2021-06-12 17:32:25,1,False,-2.0,1.0
17,974,"I feel okay today , but of course I’m off today . I wanted a drink last night , to be honest , but I never drank one . Yesterday was a long , bad day . I just went to bed instead , and got a good nights rest . I feel so much better today",2021-06-13 12:16:35,1,False,0.0,1.0
17,975,"I feel a lot better today . I got a good nights rest last night . After a super long , terrible day . Of course I’m off today . So that helps . A lot . Sometimes I like my job , but sometimes not . But I love my days off .",2021-06-13 17:05:56,1,False,-1.0,0.0
17,976,"I’m okay today . Today is my day off . I’m not looking forward to tomorrow , with the exception that they owe me money , and I can get that . I work a double tomorrow and I’m not looking forward to dealing with the people .",2021-06-14 12:08:34,1,False,-2.0,0.0
17,977,"I feel kind of down . Money has a lot to do with it . I need money so bad , and I feel like I’m not making any lately to account to anything . I feel under paid and under appreciated . I’m not looking forward to work tomorrow . I work a double . Yaaay",2021-06-14 17:35:57,1,False,-2.0,0.0
17,978,"I am tired . I don’t feel good this evening . I worked this morning . It wasn’t that bad , but I did leave for the evening instead of working my double . I just wasn’t feeling well , my legs and my back were hurting really Bad . Overall , my shift was good though . Just tired . And hurting .",2021-06-15 22:03:14,1,False,-1.0,1.0
17,979,"I feel okay right now . Of course my shift is fixing to start , so we will see in a few hours how I’m feeling . Hopefully the shift and the people won’t be that bad . I’m pretty happy/content at the moment and feeling okay today .",2021-06-16 12:36:09,1,False,2.0,0.0
17,980,"Today hasn’t been so bad . I didn’t really make a lot , which sucks , but it is what it is . I’m in a pretty good mood and feel pretty good . Today has been okay . My people were all pretty nice . Just wish there was more money .",2021-06-16 17:50:43,1,False,1.0,1.0
17,981,"I feel good . I’m off this evening . I’ve been off the last two days , besides working this morning , and then this evening off . That does good for my mentality , and with dealing with the public . Sometimes it’s hard to do , deal with people . Then others , they can be really sweet and nice . But overall I feel good right now .",2021-06-16 22:44:13,1,False,1.0,0.0
17,1000,"I’m hungry and broke . Studying for college at the moment . But I’m content , besides being hungry . I have to work later , which bums me out , but I need the money .   I’m a pretty positive person though , things will look up .",2022-01-25 10:01:40,2,False,1.0,0.0
17,1001,I’m very tired . Don’t feel good at all . I do not want to go to work . I would rather sit home . I just do not feel good today . I felt a lot better earlier . Worried about bills . Money . I need money Bad .,2022-01-25 15:05:12,2,False,-2.0,0.0
17,1002,"I’m at work . Things are going pretty good I guess . I thought it was going to be slow , but it picked up some , so that is good . I’m broke , I need the money , and that stresses me out , bad . Other than that , my mind is clear at the moment . Although I am worried about a couple things , they aren’t bothering me at the moment . Probably because I’m at work .",2022-01-25 20:03:39,2,False,0.0,1.0
17,1003,"So this morning I had school . Biology so far . That Shìt messed with my mind ! I’m not good with science . Other than that , I am good today . I feel okay and have a pretty good outlook so far today . Work tonight after school , not looking forward to that with the exception of I need money .",2022-01-26 10:39:06,2,False,1.0,1.0
17,1004,"I feel okay besides hurting . My mental clarity is good right now . I’m not happy or sad , just content I guess . I still don’t want to work tonight but I know I need the money . I’m going to school so if I can get through this , I’ll be good .",2022-01-26 15:22:06,2,False,0.0,1.0
